Name,Recs,Yds,TDs,Msrecs,Msyards,MStds,RAS,Height,Weight,40,10,Vert,Broad,Shuttle,Round ,Pick,NFLCar,Starter,CarAV,GP,GS,NFLRecs,NFLYds,NFLTDs,Recs/Year,Yds/Year,Tds/Year
Reggie Wayne-2000,43,755,10,0.217171717,0.258031442,0.384615385,5.59,72,198,,,36,,,1,30,14,12,117,211,197,1070,14345,82,76.42857143,1024.642857,5.857142857
Andre Johnson-2002,52,1092,9,0.215767635,0.295534506,0.28125,9.98,74,230,,,39,120,,1,3,14,12,95,193,187,1062,14185,70,75.85714286,1013.214286,5
George Wrighster-2002,41,568,6,0.191588785,0.191956742,0.230769231,3.61,74.125,249,,,34.5,115,,4,104,6,1,8,67,28,94,850,9,15.66666667,141.6666667,1.5
Daniel Graham-2001,51,753,6,0.274193548,0.304734925,0.4,5.87,75.125,248,,,36,118,,1,21,11,8,19,148,117,224,2490,25,20.36363636,226.3636364,2.272727273
Rod Gardner-2000,51,956,6,0.320754717,0.413673734,0.352941176,5.69,74.25,219,,,36,,,1,15,6,4,25,91,62,242,3165,23,40.33333333,527.5,3.833333333
Bennie Joppru-2002,53,579,5,0.204633205,0.191341705,0.238095238,3.2,76.25,272,,,30.5,109,,2,41,2,0,0,19,0,0,0,0,0,0,0
Dallas Clark-2002,43,742,4,0.236263736,0.27139722,0.148148148,8.75,75.375,257,,,37.5,123,,1,24,11,8,51,143,118,505,5665,53,45.90909091,515,4.818181818
Jason Avant-2005,82,1007,8,0.344537815,0.376871257,0.347826087,7.44,72.5,212,,,37,118,,4,109,10,2,30,148,53,346,4118,13,34.6,411.8,1.3
Jason Avant-2003,47,772,2,0.165492958,0.219318182,0.076923077,7.44,72.5,212,,,37,118,,4,109,10,2,30,148,53,346,4118,13,34.6,411.8,1.3
Ron Johnson-2001,56,895,9,0.329411765,0.397777778,0.473684211,8.39,74.5,225,,,34.5,118,4.02,4,123,2,0,1,22,4,11,126,1,5.5,63,0.5
Ron Johnson-2000,59,1067,11,0.317204301,0.412925697,0.55,8.39,74.5,225,,,34.5,118,4.02,4,123,2,0,1,22,4,11,126,1,5.5,63,0.5
Chris Chambers-2000,47,774,4,0.319727891,0.391502276,0.285714286,7.62,71.625,210,,,45,122,4,2,52,10,7,57,153,127,540,7648,58,54,764.8,5.8
Reche Caldwell-2001,65,1059,10,0.217391304,0.237603769,0.23255814,8.76,71.75,194,,,41.5,130,4.1,2,48,6,1,20,71,29,152,1851,11,25.33333333,308.5,1.833333333
Reche Caldwell-2000,49,760,6,0.18490566,0.205516495,0.176470588,8.76,71.75,194,,,41.5,130,4.1,2,48,6,1,20,71,29,152,1851,11,25.33333333,308.5,1.833333333
Demetrius Williams-2005,59,1059,10,0.194719472,0.289819376,0.357142857,9.56,73.75,197,,,38,127,4.08,4,111,5,0,9,46,4,63,1008,4,12.6,201.6,0.8
Demetrius Williams-2004,47,593,2,0.205240175,0.226249523,0.090909091,9.56,73.75,197,,,38,127,4.08,4,111,5,0,9,46,4,63,1008,4,12.6,201.6,0.8
Demetrius Williams-2003,51,935,8,0.206477733,0.284367397,0.333333333,9.56,73.75,197,,,38,127,4.08,4,111,5,0,9,46,4,63,1008,4,12.6,201.6,0.8
Darrius Heyward-Bey-2008,42,609,5,0.185022026,0.226646818,0.333333333,9.88,73.625,210,4.3,1.54,38.5,126,4.18,1,7,9,5,22,130,69,201,2888,16,22.33333333,320.8888889,1.777777778
Darrius Heyward-Bey-2007,51,786,3,0.228699552,0.297276853,0.333333333,9.88,73.625,210,4.3,1.54,38.5,126,4.18,1,7,9,5,22,130,69,201,2888,16,22.33333333,320.8888889,1.777777778
Darrius Heyward-Bey-2006,45,694,5,0.220588235,0.291596639,0.3125,9.88,73.625,210,4.3,1.54,38.5,126,4.18,1,7,9,5,22,130,69,201,2888,16,22.33333333,320.8888889,1.777777778
Carlos Francis-2003,75,1177,9,0.148221344,0.190483897,0.169811321,8.4,69.125,198,4.31,1.53,38.5,114,4.06,4,99,1,0,0,5,0,0,0,0,0,0,0
Carlos Francis-2002,50,632,7,0.097087379,0.116091109,0.14,8.4,69.125,198,4.31,1.53,38.5,114,4.06,4,99,1,0,0,5,0,0,0,0,0,0,0
Carlos Francis-2001,50,703,3,0.128205128,0.189487871,0.111111111,8.4,69.125,198,4.31,1.53,38.5,114,4.06,4,99,1,0,0,5,0,0,0,0,0,0,0
Carlos Francis-2000,41,519,2,0.110215054,0.146279594,0.095238095,8.4,69.125,198,4.31,1.53,38.5,114,4.06,4,99,1,0,0,5,0,0,0,0,0,0,0
Samie Parker-2003,77,1088,7,0.311740891,0.330900243,0.291666667,7.91,70.375,179,4.34,1.52,36,,,4,105,4,2,13,47,31,110,1529,7,27.5,382.25,1.75
Samie Parker-2002,49,724,8,0.228971963,0.244677256,0.307692308,7.91,70.375,179,4.34,1.52,36,,,4,105,4,2,13,47,31,110,1529,7,27.5,382.25,1.75
Chad Jackson-2005,88,900,9,0.365145228,0.330882353,0.45,9.91,72.875,213,4.34,1.54,38.5,122,4.03,2,36,3,0,2,18,1,14,171,3,4.666666667,57,1
Calvin Johnson-2006,76,1202,15,0.436781609,0.506105263,0.6,10,77,239,4.35,1.52,,,,1,2,9,9,78,135,130,731,11619,83,81.22222222,1291,9.222222222
Calvin Johnson-2005,54,888,6,0.274111675,0.37900128,0.5,10,77,239,4.35,1.52,,,,1,2,9,9,78,135,130,731,11619,83,81.22222222,1291,9.222222222
Calvin Johnson-2004,48,837,7,0.284023669,0.378733032,0.411764706,10,77,239,4.35,1.52,,,,1,2,9,9,78,135,130,731,11619,83,81.22222222,1291,9.222222222
Desean Jackson-2007,65,762,6,0.243445693,0.245094886,0.285714286,7.17,69.75,169,4.35,1.55,,120,,2,49,10,10,69,141,136,548,9487,49,54.8,948.7,4.9
Desean Jackson-2006,59,1060,9,0.240816327,0.32199271,0.36,7.17,69.75,169,4.35,1.55,,120,,2,49,10,10,69,141,136,548,9487,49,54.8,948.7,4.9
Javon Walker-2001,45,944,7,0.244565217,0.322074377,0.269230769,9.98,74.75,210,4.35,1.5,39.5,128,4.05,1,20,8,2,39,83,46,267,4011,31,33.375,501.375,3.875
Cliff Russell-2001,53,744,4,0.294444444,0.322357019,0.222222222,5.34,73,185,4.36,1.63,,,,3,87,6,0,0,23,1,5,45,0,0.833333333,7.5,0
Courtney Roby-2004,55,810,7,0.339506173,0.395314788,0.538461538,9.56,72.125,189,4.36,1.56,36.5,126,4,3,68,10,0,3,92,6,26,343,1,2.6,34.3,0.1
Courtney Roby-2003,45,504,0,0.25862069,0.252252252,0,9.56,72.125,189,4.36,1.56,36.5,126,4,3,68,10,0,3,92,6,26,343,1,2.6,34.3,0.1
Courtney Roby-2002,59,1039,4,0.25877193,0.344039735,0.222222222,9.56,72.125,189,4.36,1.56,36.5,126,4,3,68,10,0,3,92,6,26,343,1,2.6,34.3,0.1
Andre Caldwell-2007,56,761,7,0.233333333,0.227776115,0.21875,9.46,72.25,204,4.37,1.55,33,124,4.11,3,97,8,0,12,105,18,156,1509,11,19.5,188.625,1.375
