Name,RAS,Height,Weight,40,10,Vert,Broad,Shuttle
Reggie Wayne-2000,5.59,72,198,,,36,,
Andre Johnson-2002,9.98,74,230,,,39,120,
George Wrighster-2002,3.61,74.125,249,,,34.5,115,
Daniel Graham-2001,5.87,75.125,248,,,36,118,
Rod Gardner-2000,5.69,74.25,219,,,36,,
Bennie Joppru-2002,3.2,76.25,272,,,30.5,109,
Dallas Clark-2002,8.75,75.375,257,,,37.5,123,
Jason Avant-2005,7.44,72.5,212,,,37,118,
Jason Avant-2003,7.44,72.5,212,,,37,118,
Ron Johnson-2001,8.39,74.5,225,,,34.5,118,4.02
Ron Johnson-2000,8.39,74.5,225,,,34.5,118,4.02
Chris Chambers-2000,7.62,71.625,210,,,45,122,4
Reche Caldwell-2001,8.76,71.75,194,,,41.5,130,4.1
Reche Caldwell-2000,8.76,71.75,194,,,41.5,130,4.1
Demetrius Williams-2005,9.56,73.75,197,,,38,127,4.08
Demetrius Williams-2004,9.56,73.75,197,,,38,127,4.08
Demetrius Williams-2003,9.56,73.75,197,,,38,127,4.08
Darrius Heyward-Bey-2008,9.88,73.625,210,4.3,1.54,38.5,126,4.18
Darrius Heyward-Bey-2007,9.88,73.625,210,4.3,1.54,38.5,126,4.18
Darrius Heyward-Bey-2006,9.88,73.625,210,4.3,1.54,38.5,126,4.18
Carlos Francis-2003,8.4,69.125,198,4.31,1.53,38.5,114,4.06
Carlos Francis-2002,8.4,69.125,198,4.31,1.53,38.5,114,4.06
Carlos Francis-2001,8.4,69.125,198,4.31,1.53,38.5,114,4.06
Carlos Francis-2000,8.4,69.125,198,4.31,1.53,38.5,114,4.06
Samie Parker-2003,7.91,70.375,179,4.34,1.52,36,,
Samie Parker-2002,7.91,70.375,179,4.34,1.52,36,,
Chad Jackson-2005,9.91,72.875,213,4.34,1.54,38.5,122,4.03
Calvin Johnson-2006,10,77,239,4.35,1.52,,,
Calvin Johnson-2005,10,77,239,4.35,1.52,,,
Calvin Johnson-2004,10,77,239,4.35,1.52,,,
Desean Jackson-2007,7.17,69.75,169,4.35,1.55,,120,
Desean Jackson-2006,7.17,69.75,169,4.35,1.55,,120,
Javon Walker-2001,9.98,74.75,210,4.35,1.5,39.5,128,4.05
Cliff Russell-2001,5.34,73,185,4.36,1.63,,,
Courtney Roby-2004,9.56,72.125,189,4.36,1.56,36.5,126,4
Courtney Roby-2003,9.56,72.125,189,4.36,1.56,36.5,126,4
Courtney Roby-2002,9.56,72.125,189,4.36,1.56,36.5,126,4
Andre Caldwell-2007,9.46,72.25,204,4.37,1.55,33,124,4.11
Andre Caldwell-2006,9.46,72.25,204,4.37,1.55,33,124,4.11
